map_source_id,sheet_id,gcp_id,historical_map_label,raw_pixel_x,raw_pixel_y,reference_feature_name,reference_lon,reference_lat,reference_source,identity_confidence,symbol_position_uncertainty_m,accepted,excluded_reason
hsrc_79b470dbf941,f1,zgcp_f1_weimar,WEIMAR,2698.0,3935.0,Weimar,11.32903,50.9803,"GeoNames cities15000 (CC BY 4.0), local copy data/raw/geonames_cities15000",HIGH,900.0,YES,
hsrc_79b470dbf941,f1,zgcp_f1_erfurt,ERFVRT / St. Petersberg,1372.0,4059.0,Erfurt,11.03536,50.97734,GeoNames cities15000 (CC BY 4.0),MEDIUM,1500.0,NO,"The clearly drawn star outline is the Petersberg citadel, not the town centre the reference coordinate names; the offset is about a kilometre and was not resolved, so the point is not accepted."
hsrc_79b470dbf941,f1,zgcp_f1_naumburg,NAVMBVRG / STIFT,4171.0,2176.0,Naumburg,11.80979,51.14987,GeoNames cities15000 (CC BY 4.0),LOW,,NO,"Two candidate shapes sit under the lettering (a square cluster and a round wall outline) and NAVMBVRG STIFT is a REGION label, so which shape is the town could not be settled."
hsrc_79b470dbf941,f1,zgcp_f1_querfurt,,3660.0,1740.0,Querfurt,,,GeoNames cities15000 (CC BY 4.0),UNKNOWN,,NO,Window placed from an overview estimate landed on Schmalrode / Mönchrode; Querfurt is not inside it.
hsrc_79b470dbf941,f1,zgcp_f1_merseburg,,5000.0,1290.0,Merseburg,,,GeoNames cities15000 (CC BY 4.0),UNKNOWN,,NO,Window landed on Wengelsdorf / Gr. Corbetha; Merseburg is not inside it.
hsrc_79b470dbf941,f1,zgcp_f1_sangerhausen,,2210.0,1660.0,Sangerhausen,,,GeoNames cities15000 (CC BY 4.0),UNKNOWN,,NO,Window landed on Riethaburg / Bretleben; Sangerhausen is not inside it.
hsrc_79b470dbf941,f1,zgcp_f1_jena,,2684.0,3968.0,Jena,11.5899,50.92878,GeoNames cities15000 (CC BY 4.0),UNKNOWN,,NO,"The window intended for Jena contained Weimar instead, so Jena was never located."
hsrc_79b470dbf941,f1,zgcp_f1_soemmerda,Gros Sömmerda,1783.0,3010.0,Soemmerda,11.11524,51.15914,GeoNames cities15000 (CC BY 4.0),MEDIUM,,NO,The label was read but no unambiguous town symbol was resolved inside the window at the magnification used.
hsrc_79b470dbf941,f1,zgcp_f1_gera,GERA,5100.0,3968.0,Gera,12.08187,50.88029,GeoNames cities15000 (CC BY 4.0),MEDIUM,,NO,Lettering visible near the sheet edge; the symbol itself was not isolated.
hsrc_79b470dbf941,f2,zgcp_f2_not_attempted,,,,,,,,UNKNOWN,,NO,"Sheet f2 was not attempted: the f1 attempt did not reach a defensible point count, so extending the same method to the second sheet could not change the outcome."
