observation_id,kind,border,pixel_axis,pixel_value,degree_value_raw,numeral_read,second_coordinate_known,detection_method,eligible_as_2d_gcp,used_for,notes
mer_9_top,MERIDIAN_TICK,TOP,x,643,9.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_10_top,MERIDIAN_TICK,TOP,x,1060,10.0,YES,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_11_top,MERIDIAN_TICK,TOP,x,1480,11.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_12_top,MERIDIAN_TICK,TOP,x,1898,12.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_13_top,MERIDIAN_TICK,TOP,x,2315,13.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_14_top,MERIDIAN_TICK,TOP,x,2739,14.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_15_top,MERIDIAN_TICK,TOP,x,3138,15.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_16_top,MERIDIAN_TICK,TOP,x,3552,16.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_17_top,MERIDIAN_TICK,TOP,x,3968,17.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_18_top,MERIDIAN_TICK,TOP,x,4378,18.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_19_top,MERIDIAN_TICK,TOP,x,4792,19.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_20_top,MERIDIAN_TICK,TOP,x,5206,20.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_21_top,MERIDIAN_TICK,TOP,x,5621,21.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_10_bottom,MERIDIAN_TICK,BOTTOM,x,754,10.0,NO,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
mer_11_bottom,MERIDIAN_TICK,BOTTOM,x,1232,11.0,YES,NO,column/row darkness profile of the graduated margin band at native resolution,NO,PRIME_MERIDIAN_AUDIT; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - MAPGEN-018R disqualified that.
