relationship_id,scenario_id,from_scenario_polity_id,to_scenario_polity_id,relationship_type,directionality,constitutional_or_administrative,source_confidence,source_id,evidence_locator,notes
rel_ff862f81ca79,seven_years_war_1756_08_01,sp_5fb5b4cc85ab,sp_6b03622fc98a,PERSONAL_UNION,SYMMETRIC,DYNASTIC,HIGH,src_cf694f0b686f,UNKNOWN,George II king of Great Britain and elector of Hanover. Personal union NEVER merges the two territorial polities. [locator: work-level attribution at catalogue stage]
rel_3a7dc6c57308,seven_years_war_1756_08_01,sp_6b03622fc98a,sp_c8f0dcb42a96,PERSONAL_UNION,SYMMETRIC,DYNASTIC,MEDIUM,src_497229e79aa1,UNKNOWN,Shared crown; Irish legislative subordination (Declaratory Act 1720) noted — the subordination side is deliberately not asserted as SUBJECT_OF at catalogue stage. [locator: work-level attribution at catalogue stage]
rel_7f246f538d33,seven_years_war_1756_08_01,sp_1effdbf1a454,sp_992101257e91,PERSONAL_UNION,SYMMETRIC,DYNASTIC,HIGH,src_cf694f0b686f,UNKNOWN,Augustus III elector of Saxony and king of Poland. Territories never merged. [locator: work-level attribution at catalogue stage]
rel_b45b7e7eccd6,seven_years_war_1756_08_01,sp_14ee92dede27,sp_def69cc80f28,PERSONAL_UNION,SYMMETRIC,DYNASTIC,HIGH,src_497229e79aa1,UNKNOWN,Charles of Bourbon king of both kingdoms. [locator: work-level attribution at catalogue stage]
rel_e56565a24876,seven_years_war_1756_08_01,sp_5fb5b4cc85ab,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_f374de63ebbc,seven_years_war_1756_08_01,sp_cc7532a9b0a0,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_7267630c8f8f,seven_years_war_1756_08_01,sp_992101257e91,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_be65960e6f1a,seven_years_war_1756_08_01,sp_85e4cfc5bdb1,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_7daa9382c96f,seven_years_war_1756_08_01,sp_85427a13732a,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_21dfd340de53,seven_years_war_1756_08_01,sp_72ebae9108c2,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_7f6a216b1a6f,seven_years_war_1756_08_01,sp_99913589df76,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_62b97a8ce43d,seven_years_war_1756_08_01,sp_562cbb0b9dbd,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
