scenario_id,candidate_name,canonical_candidate_id,region,historical_entity_type,inclusion_status,included_polity_id,reason,source_id,source_confidence,six_km_representation_risk,recommended_future_representation,notes,representability_basis
seven_years_war_1756_08_01,Kingdom of Great Britain,cand_great_britain,BRITISH_ISLES,KINGDOM,INCLUDED,pol_great_britain,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,"Sovereign kingdom (union of England and Scotland, 1707). Overseas possessions out of scope for the Europe catalogue.",large/contiguous territory per registered sources
seven_years_war_1756_08_01,Kingdom of Ireland,cand_kingdom_of_ireland,BRITISH_ISLES,KINGDOM,INCLUDED,pol_kingdom_of_ireland,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,"Separate kingdom under the British crown; legislatively subordinated (Declaratory Act 1720) — modeled as personal union, subordination recorded here, not as annexation.",large/contiguous territory per registered sources
seven_years_war_1756_08_01,Electorate of Brunswick-Lüneburg (Hanover),cand_hanover,HRE_GERMANY,ELECTORATE,INCLUDED,pol_hanover,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_cf694f0b686f,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Imperial electorate ruled by George II in personal union with Great Britain; NEVER merged into a single territorial polity with Britain.,documented separated major parts per registered sources
seven_years_war_1756_08_01,Kingdom of France,cand_france,WESTERN_EUROPE,KINGDOM,INCLUDED,pol_france,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Sovereign kingdom; papal enclaves (Avignon/Comtat) noted under the Papal States.,large/contiguous territory per registered sources
seven_years_war_1756_08_01,Kingdom of Spain,cand_spain,IBERIA,KINGDOM,INCLUDED,pol_spain,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Bourbon Spain.,large/contiguous territory per registered sources
seven_years_war_1756_08_01,Kingdom of Portugal,cand_portugal,IBERIA,KINGDOM,INCLUDED,pol_portugal,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,,large/contiguous territory per registered sources
seven_years_war_1756_08_01,Republic of the Seven United Netherlands,cand_dutch_republic,WESTERN_EUROPE,CONFEDERAL_REPUBLIC,INCLUDED,pol_dutch_republic,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,NONE,STANDARD_HEX_TERRITORY,Confederal republic acting as one polity externally; internal provincial structure not modeled at this stage.,large/contiguous territory per registered sources
seven_years_war_1756_08_01,Austrian Netherlands,cand_austrian_netherlands,WESTERN_EUROPE,COMPOSITE_TERRITORY,INCLUDED,pol_austrian_netherlands,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_0478d4eda69b,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Habsburg possession (Burgundian circle of the Empire); mosaic with Liège and barrier enclaves.,documented enclave mosaic per registered sources
seven_years_war_1756_08_01,Prince-Bishopric of Liège,cand_liege,WESTERN_EUROPE,PRINCE_BISHOPRIC,INCLUDED,pol_liege,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_2a22eae2a6c2,HIGH,ENCLAVE_COMPLEX,HEX_PLUS_ENCLAVE_OVERLAY,Imperial ecclesiastical principality interleaved with the Austrian Netherlands.,documented enclave mosaic per registered sources
seven_years_war_1756_08_01,Kingdom of Sardinia (Savoy-Piedmont),cand_sardinia,ITALY,KINGDOM,INCLUDED,pol_sardinia,Meets inclusion policy v1: politically distinct 1756 actor documented in the registered sources.,src_497229e79aa1,HIGH,MULTIPART,MULTIPART_HEX_TERRITORY,Savoyard state: island of Sardinia + mainland Piedmont-Savoy.,documented separated major parts per registered sources
