global_source_id,source_title,source_kind,represented_date_or_range,geographic_scope,geometry_available,georeferenced,licence_verified,redistribution_allowed,boundary_authority_for_1756,geometric_substrate_usable,topographic_georeference_usable,visual_qa_only,exact_locator_available,assessment_status,assessment_reason
hsrc_7fe408029661,Historical Atlas of the Low Countries v15.0 (IISH),ACADEMIC_HISTORICAL_GIS,1500 cross-section only (published),Low Countries,YES,YES,YES,YES,NO,YES,NO,NO,YES,USABLE_AS_GEOMETRIC_SUBSTRATE_ONLY,Acquired+verified. CC BY-SA 4.0. 1756 boundary authority: NO — only the 1500 cross-section exists and no 1756 sovereignty attributes; usable later as locality substrate once per-locality 1756 evidence exists (or upstream publishes 1650/1800).
hsrc_14e8e96b532a,Ferraris Carte de Cabinet (1771-1778),CONTEMPORARY_MAP,1771-1778,Austrian Netherlands,YES,YES,NO,UNKNOWN,NO,NO,YES,NO,YES,USABLE_AS_GEOREFERENCE_ONLY,Near-contemporary topographic survey; georeference aid; not sovereignty authority and 1770s != 1756; licence check pending.
hsrc_b14d70b69dc9,Fricx Carte des Pays-Bas (1704-1712),CONTEMPORARY_MAP,1704-1712,Low Countries,YES,UNKNOWN,NO,UNKNOWN,NO,NO,YES,NO,UNKNOWN,USABLE_AS_GEOREFERENCE_ONLY,Predates the 1713/1715 settlements; georeference/QA only.
hsrc_1e8a25b41e19,NLGis municipal boundaries from 1812,ACADEMIC_HISTORICAL_GIS,1812+,Netherlands,YES,YES,UNKNOWN,UNKNOWN,NO,NO,NO,NO,UNKNOWN,DATE_MISMATCH,Post-1795 reorganisation; unusable for 1756 even as substrate.
hsrc_a7b98e38fa2a,Wikimedia Europe 1748-1766 reconstruction,RECONSTRUCTION_MAP,1748-1766,Europe,YES,NO,YES,YES,NO,NO,NO,YES,NO,VISUAL_QA_ONLY,Informal secondary reconstruction with known gaps; period sanity checks only — hard-gated against production use.
hsrc_81cf823f3ab5,ETH HRE spatio-temporal dataset,ACADEMIC_HISTORICAL_GIS,16th century,Holy Roman Empire,YES,YES,UNKNOWN,UNKNOWN,NO,NO,NO,NO,UNKNOWN,DATE_MISMATCH,Wrong century for 1756; methodology reference only (hard-gated).
hsrc_fc0b4f804539,Carte de Cassini (18th c. France),CONTEMPORARY_MAP,1750s-1780s,France,YES,YES,NO,UNKNOWN,NO,NO,YES,NO,UNKNOWN,USABLE_AS_GEOREFERENCE_ONLY,Topographic authority for the French frontier; no political sovereignty authority.
hsrc_0f6079f5595f,NCMH Atlas (1970),SCHOLARLY_ATLAS,1500-1900 plates,Europe,NO,NO,YES,NO,NO,NO,NO,NO,NO,SOURCE_GAP,"Paper atlas, no acquirable GIS; work-level authority for polity existence, not digitisable geometry here (no georeferenced scan with licence verified)."
hsrc_34735c52ef0d,"Vaugondy/Robert 1756, Upper Saxon Circle (southern part) — BnF",CONTEMPORARY_MAP,1756,Upper Saxon Circle (south),YES,YES,YES,YES,YES,YES,YES,NO,YES,VERIFIED_USABLE,"Contemporary 1756 sheet by a royal geographer, held by a national library, public domain, with its own graticule and hand-coloured political outlines. Directly represents the 1756 state, so no continuity bridge is needed. Positional uncertainty measured at ~3 km against an independent settlement check."
hsrc_2c9c85d8d538,"Hinton 1756, seat of war between the Prussians and Austrians — Utrecht UB",CONTEMPORARY_MAP,1756,Saxony/Brandenburg/Silesia/Bohemia,YES,UNKNOWN,NO,UNKNOWN,NO,NO,NO,NO,YES,LICENCE_BLOCKED,"Record exists and is period-correct, but the repository's rights metadata is unusable, so the file was not acquired and it cannot serve as authority. Corroboration of the Vaugondy boundaries therefore remains OUTSTANDING."
hsrc_79b470dbf941,"Zollmann / Homann Heirs, Thuringiae Orientalis, 1747",PRINTED_REGIONAL_MAP,1747,Eastern Thuringia (2 sheets),YES,NO,YES,NO,NO,YES,YES,NO,YES,ACQUIRED_NOT_YET_GEOREFERENCED,"Genuine 1:200,000 regional map, far finer than the 1756 Vaugondy sheet, covering the Schwarzburg and Weimar lands. It is dated 1747, so it can never be a direct 1756 boundary authority: use for 1756 would require a TERRITORIAL_CONTINUITY assertion per subject. Georeferencing was attempted and NOT completed: the neat line is skewed in the scan and the graticule numerals could not be read unambiguously at the available resolution. No GCP was invented, so no transform exists yet."
hsrc_a5816e9281d6,"NDB 24 (2010) art. Schwarzburg, Grafen von",SCHOLARLY_REFERENCE_ARTICLE,1195-1918,Thuringia,NO,NOT_APPLICABLE,YES,NO,NO,NO,NO,NO,YES,POLITY_MODEL_AUTHORITY,"Authority for WHICH territorial actors existed in 1756, not for where their boundaries ran. Used only for polity existence and status."
hsrc_1bead8f288ea,Landesarchiv Thueringen finding aids,ARCHIVAL_FINDING_AID,1500-1918,Schwarzburg lands,NO,NOT_APPLICABLE,YES,NO,NO,NO,NO,NO,COLLECTION_LEVEL_ONLY,SUPPORTING_ONLY,"Collection-level description only; no individual archival signature was verified, so it supports the separate-administration finding but is not cited as pinpoint evidence."
hsrc_d43582bd894f,Landesregierung Eisenach (Bestand 26508),ARCHIVAL_FINDING_AID,1640-1850,Thuringia,NO,NOT_APPLICABLE,YES,NO,NO,NO,NO,NO,COLLECTION_LEVEL_ONLY,POLITY_MODEL_AUTHORITY,"Direct evidence that Eisenach kept its own Regierung, Kammer and Oberkonsistorium until 1849/50, i.e. a separate administration under a shared ruler in 1756. Consulted through the portal index, not the rendered Vorwort."
hsrc_99679105b343,BnF authority: Saxe-Weimar (Duche),LIBRARY_AUTHORITY_RECORD,1556-1918,Thuringia,NO,NOT_APPLICABLE,YES,NO,NO,NO,NO,NO,YES,SUPPORTING_ONLY,"A cataloguing heading that treats Saxe-Weimar-Eisenach as one entity from 1741. Useful as a naming datum, not as evidence of territorial or constitutional unification."
hsrc_7912efc88450,Deutsche Biographie: Ernst August II. Constantin,SCHOLARLY_REFERENCE_ARTICLE,1737-1758,Thuringia,NO,NOT_APPLICABLE,YES,NO,NO,NO,NO,NO,YES,POLITY_MODEL_AUTHORITY,Fixes the ruler at the snapshot date and his style. Index-level entry only; no constitutional narrative was obtained.
hsrc_d22d155bbd4a,Vaugondy 1751 Brandenburg/Pomerania,PRINTED_REGIONAL_MAP,1751 privilege / UNVERIFIED political,Brandenburg and Pomerania,UNKNOWN,NO,NO,NO,NO,UNKNOWN,NO,NO,YES,IDENTIFIED_NOT_ACQUIRED,"Verified to exist with an institutional holding at Ksiaznica Pomorska and a Rumsey listing. Not acquired in this stage, so its raster, licence, graticule and represented political date are all unverified. Same plate family as the sheet already in production, so it can never serve as corroboration."
hsrc_a6ea66a39f18,Vaugondy 1756 Empire in ten circles,PRINTED_OVERVIEW_MAP,1756 catalogue date,Holy Roman Empire,UNKNOWN,NO,NO,NO,NO,NO,NO,YES,YES,IDENTIFIED_NOT_ACQUIRED,Overview scale; would be QA only.
hsrc_aff64e52a076,IEG-Mainz eKompendium HGISG,SCHOLARLY_REFERENCE,1741-1918,Thuringia,NO,NO,YES,NO,NO,NO,NO,NO,YES,POLITY_MODEL_AUTHORITY,Direct territorial statement for 1741; no geometry.
hsrc_61694c6b1c6c,GeoNames cities15000,MODERN_GAZETTEER,modern,global,NO,NO,YES,NO,NO,NO,NO,NO,YES,POINT_REFERENCE_ONLY,Point references for map symbols only; no boundaries.
