scenario_id,candidate_name,a_territorial_actor_1756,b_visible_at_6km,c_independent_7yw_significance,d_enclave_multipart_or_union_specials,e_source_traceable,decision,source_id,notes
seven_years_war_1756_08_01,Prince-Bishopric of Münster,YES,YES,YES,NO,YES,INCLUDED,src_2a22eae2a6c2,"Major Westphalian territory; 7YW theatre. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Prince-Bishopric of Würzburg,YES,YES,YES,NO,YES,INCLUDED,src_2a22eae2a6c2,"Large Franconian principality. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Prince-Bishopric of Bamberg,YES,YES,NO,YES,YES,INCLUDED,src_2a22eae2a6c2,"Franconian core + documented Carinthian exclave estates. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Prince-Archbishopric of Salzburg,YES,YES,NO,NO,YES,INCLUDED,src_2a22eae2a6c2,"Large Alpine ecclesiastical principality. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Landgraviate of Hesse-Darmstadt,YES,YES,YES,YES,YES,INCLUDED,src_2a22eae2a6c2,"Separated parts (Starkenburg/Upper Hesse). Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Duchy of Mecklenburg-Strelitz,YES,YES,NO,YES,YES,INCLUDED,src_2a22eae2a6c2,"Two separated parts (Stargard, Ratzeburg). Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Margraviate of Baden-Durlach,YES,YES,NO,YES,YES,INCLUDED,src_2a22eae2a6c2,"Fragmented Rhine territories; separate from Baden-Baden until 1771. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Margraviate of Baden-Baden,YES,YES,NO,YES,YES,INCLUDED,src_2a22eae2a6c2,"Catholic Baden line; separate 1756 polity. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Hamburg,YES,YES,YES,NO,YES,INCLUDED,src_2a22eae2a6c2,"Major city-state; blanket city judgment withdrawn. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Nuremberg,YES,YES,NO,NO,YES,INCLUDED,src_2a22eae2a6c2,"One of the largest imperial-city territories. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Frankfurt,YES,UNKNOWN,NO,NO,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Footprint pending atlas assessment. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Augsburg,YES,UNKNOWN,NO,NO,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Footprint pending atlas assessment. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Bremen,YES,UNKNOWN,NO,NO,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Footprint pending atlas assessment. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Lübeck,YES,UNKNOWN,NO,NO,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Footprint pending atlas assessment. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Free Imperial City of Ulm,YES,UNKNOWN,NO,NO,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Footprint pending atlas assessment. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Nassau lines (family),YES,NO,NO,YES,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Many small collateral lines; identities preserved for later promotion; Orange link = Dutch question. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
seven_years_war_1756_08_01,Anhalt lines (family),YES,NO,NO,YES,YES,AGGREGATION_CANDIDATE,src_2a22eae2a6c2,"Four small collateral principalities; identities preserved. Criteria: a=actor exists, b=map-visible, c=7YW military/diplomatic significance, d=special structure, e=traceability. NOT auto-INCLUDED; playability stays UNDECIDED."
