historical_subject_id,scenario_id,polity_id,scenario_polity_id,mapping_basis,reviewed
hsub_meissen_electoral_saxony_core,seven_years_war_1756_08_01,pol_saxony,sp_992101257e91,"The sheet's MARQUISAT DE MISNIE bloc is the core territory of the Electorate of Saxony, which is the most specific registered territorial actor (MAPGEN-009R2 catalogue). No new polity was invented.",YES
hsub_duchy_of_saxe_weimar,seven_years_war_1756_08_01,pol_saxe_weimar,sp_539bf465a695,"The sheet labels this bloc 'DUCHE DE WEIMAR', so the subject IS the registered actor: a 1:1 mapping with no inference beyond the map's own naming.",YES
hsub_great_britain_main_island,seven_years_war_1756_08_01,pol_great_britain,sp_6b03622fc98a,"Article I of the Union with Scotland Act 1706 makes the whole main island one kingdom by the name of Great Britain, which is the registered actor pol_great_britain. England, Wales and Scotland are internal legal distinctions and are NOT territorial controllers.",YES
hsub_ireland_main_island,seven_years_war_1756_08_01,pol_kingdom_of_ireland,sp_c8f0dcb42a96,In 1756 Ireland is a separate kingdom with its own Parliament under the same crown. The union with Great Britain is 1801 and must not be back-dated. Maps to pol_kingdom_of_ireland only.,YES
hsub_sicily_main_island,seven_years_war_1756_08_01,pol_sicily,sp_14ee92dede27,"The island of Sicily is the Kingdom of Sicily, a registered actor with its own parliament and Deputazione. Naples shares its monarch in 1756 but is a separate kingdom until 1816, so no control is copied between them.",YES
hsub_sardinia_main_island,seven_years_war_1756_08_01,pol_sardinia,sp_5f0f4d8d4788,"pol_sardinia is the Kingdom of Sardinia (Savoy-Piedmont). MAPGEN-022 authorised one component of that actor's territorial scope, the island of Sardinia. Piedmont, Savoy and Nice are UNASSESSED and NOT_PRODUCED - a coverage statement, not a redefinition of the actor.",YES
hsub_iceland_main_island,seven_years_war_1756_08_01,pol_denmark_norway,sp_44c79eb0f89c,"Iceland is held by the Danish-Norwegian crown under the hereditary homage sworn at Kopavogur in 1662. This authorises the Iceland component only: Denmark, Norway, Schleswig, Holstein, the Faroes and Greenland are UNASSESSED and are not produced from this actor.",YES
hsub_malta_main_island,seven_years_war_1756_08_01,pol_order_st_john,sp_20bf1d9af6ea,"Malta is held by the Order of Saint John under the 1530 privilege of Charles V. This authorises the Malta component only; Tripoli, lost in 1551, and the Order's European commanderies are not produced.",YES
hsub_gozo_island,seven_years_war_1756_08_01,pol_order_st_john,sp_20bf1d9af6ea,Gozo is named in the same 1530 privilege and is therefore authorised as a separate component of the same actor. Comino is not named and is not produced.,YES
hsub_spain_crown_iberian_mainland,seven_years_war_1756_08_01,pol_spain,sp_b622a2799f94,"The Spanish crown under Fernando VI is the registered actor pol_spain. This authorises the IBERIAN MAINLAND component only: the Balearics, the Canaries, Ceuta and Melilla, and everything overseas are UNASSESSED and are not produced from this actor. Navarre, Catalonia, Valencia and Aragon are internal kingdoms and principalities of the same crown with their own institutions; they are not separate actors here, and none of them is a personal union.",YES
hsub_portugal_crown_iberian_mainland,seven_years_war_1756_08_01,pol_portugal,sp_fef06587fead,"The Portuguese crown under D. Jose I is the registered actor pol_portugal. This authorises the MAINLAND component, and after the MAPGEN-027 constitutional audit that INCLUDES the Algarve: one royal style over both kingdoms, one Chancellaria mor through which every law is published, one livro das Leys, the same comarca corregedores under the same Ordenacoes, and the same decima. The kingdom title is honorific. No new polity is created and no personal union is asserted. Madeira, the Azores and the overseas empire remain UNASSESSED.",YES
