component,in_brandenburg,bnf_1751_evidence,blha_1758_evidence,label_evidence,colour_used_as_controller,controller_basis,audited_on_both_sheets,research_stage
Altmark,YES,drawn inside the crimson-edged Brandenburg body,"MARCHIA VETUS, lettered across a green wash, and named in the title as MARCHIAM VETEREM","title cartouche: 'ELECTORATUM BRANDENBURGENSEM sive MARCHIAM VETEREM, MEDIAM et NOVAM nec non MARCHIAM VKERAM'",NO,LABEL_AND_TITLE,YES,MAPGEN-020
Mittelmark,YES,"the main crimson loop containing Berlin, Potsdam and Brandenburg an der Havel","MARCHIA MEDIA across the pink wash, subdivided CIRCULUS INFERIOR / BARNIMENSIS / ZAUCHICUS / TELTOVIENSIS / LEBUSENSIS",title cartouche: MEDIAM,NO,LABEL_AND_TITLE,YES,MAPGEN-020
Neumark,YES,"east of the Oder, Arnswalde/Soldin/Landsberg","CIRCULUS SOLDINIENSIS, ARENSWALDENSIS, FRIDEBERGENSIS, DRAMBURGENSIS, STERNBERGENSIS, CROSSENSIS, ZULLICHAVIENSIS","title cartouche: NOVAM; and the 8 Mar 1756 edict names the Neumark with its four incorporated Kreise Sternberg, Crossen, Zuellichau and Cottbus",NO,LABEL_TITLE_AND_1756_EDICT,YES,MAPGEN-020
Uckermark,YES,"Prenzlau, Angermuende, Schwedt inside the Brandenburg body",MARCHIA UKERANA across a cyan wash,title cartouche: MARCHIAM VKERAM; and the 11 Feb 1756 circular addresses the Alt- und Ucker-Maerckisches Obergericht,NO,LABEL_TITLE_AND_1756_EDICT,YES,MAPGEN-020
Prignitz,YES,"carried on the separate Vieille Marche / Prignitz supplement, NOT on the main plate's transform","CIRCULUS PRIGNITIA, Perleberg / Pritzwalk / Kyritz / Havelberg / Lenzen","not named in the title, but lettered as a Circulus on the ca.1758 sheet",NO,LABEL,YES,MAPGEN-020
Ruppin,YES,"Neuruppin, Alt Ruppin, Rheinsberg, Gransee",CIRCULUS RUPPINENSIS across an orange wash,lettered as a Circulus on the ca.1758 sheet,NO,LABEL,YES,MAPGEN-020
Duchy of Magdeburg,NO,outside the crimson body,DUCAT: MAGDEBURG lettered on UNCOLOURED ground west of the washed Brandenburg body; the town of Magdeburg is drawn but its territory is not washed,administered by a separate department of the General Directory since 1723; the 1756 edicts address the Prinzliche Gesammt-Cammer in Magdeburg separately,NO,LABEL_AND_1756_ADMINISTRATIVE_RECORD,YES,MAPGEN-020
Principality of Halberstadt,NO,off-sheet / outside the body,not part of the washed body,the 1756 edicts address die Halberstadtsche Regierung separately,NO,LABEL_AND_1756_ADMINISTRATIVE_RECORD,YES,MAPGEN-020
Pomerania,NO,"the sheet's own note distinguishes Swedish Pomerania (Bardt, Gutzkow, Stettin duchies)",DUCATUS POMERANIAE PARS lettered on uncoloured ground; Stettin and Stargard drawn but not washed,"March 1756: own Pommersche/Stettinsche Regierung and Coesslin Hofgericht, separate from Kurmark and Neumark bodies",NO,LABEL_AND_1756_ADMINISTRATIVE_RECORD,YES,MAPGEN-020
Cottbus (Kreis),YES,Cottbus salient east of Lower Lusatia,COTBUS drawn with a Circulus and the Peitz fortress; the 1748-1751 Landesgrenze file concerns exactly this frontier,the 8 Mar 1756 edict names the Cottbus Kreis as one of the four incorporated into the Neumark,NO,LABEL_AND_1756_EDICT,YES,MAPGEN-020
