segment_id,subsegment_id,subsegment_name,territorial_political_continuity,boundary_position_continuity,source_1751,source_1756,source_1758,change_evidence,exact_locator,effective_date,affected_extent,gameplay_effect,confidence,notes,research_stage,snapshot_instant,individually_researched
seg_saxony,sub_saxony_branitz_weissagk_groetsch,"Cottbus / Lower Lusatia frontier at Branitz, Weissagk and Groetsch",CONTINUOUS,LOCAL_CORRECTION_UNRESOLVED,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","2 Kurmaerkische Kammer F 8218 (1748-1751) and 17B 4948 (1748-1751, with Ebeling's 1737 plan of the disputed line)",BLHA 939219; BLHA 242087 fol. 103-104,UNRESOLVED_WITHIN_1748_1751,~5-10 km of frontier,SUB_HEX_TO_SINGLE_HEX,MEDIUM,"An explicit correction of the state boundary with Electoral Saxony closing in 1751, the same year as the BnF represented state. Political continuity is untouched; the exact line here is not usable as authority.",MAPGEN-020,1756-08-01,YES
seg_saxony,sub_saxony_remainder,Saxony frontier away from the Branitz-Weissagk-Groetsch case,CONTINUOUS,CONFIRMED_WITHIN_SOURCE_UNCERTAINTY,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019",No further Landesgrenz-Sachen file found for 1751-1758; the Prussian invasion of Saxony on 29 Aug 1756 post-dates the snapshot and Hubertusburg 1763 restored the status quo ante,"Britannica, Seven Years' War - The treaties of peace",NO_CHANGE_FOUND,remainder of the frontier,NONE,MEDIUM,"Occupation moved armies, not the frontier.",MAPGEN-020,1756-08-01,YES
seg_silesia_neumark,sub_silesia_glauchow_sabor,Neumark / Silesia line at Glauchow and Sabor near Zuellichau,CONTINUOUS,REGULATION_WITHOUT_TERRITORIAL_TRANSFER,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","3 Neumaerkische Kammer 17143 (1746-1757), filed under Registratur des Oberforstmeisters >> Amt Zuellichau >> Forstgrenzen",BLHA 1377739,UNRESOLVED_WITHIN_1746_1757,"one Amtsdorf against one Herrschaft, forest boundary",SUB_HEX,MEDIUM,"Both parties Prussian after 1742, and the file is a forest boundary in the forestry registry. No territory changed hands.",MAPGEN-020,1756-08-01,YES
seg_silesia_neumark,sub_silesia_remainder,Neumark / Silesia line away from Glauchow-Sabor,CONTINUOUS,CONFIRMED_WITHIN_SOURCE_UNCERTAINTY,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","Silesia Prussian since Breslau 1742 and Dresden 1745, confirmed by Hubertusburg 1763; the 8 Mar 1756 edict styles Frederick 'souverainer und Oberster Herzog von Schlesien', a capacity distinct from the Electorate",bsb11399173 scan 0025 col. 45,NO_CHANGE_FOUND,remainder of the frontier,NONE,MEDIUM,,MAPGEN-020,1756-08-01,YES
seg_prussian_pomerania,sub_pompom_gartz_vierraden,"Uckermark / Prussian Pomerania at Gartz, Vierraden and the Pommersche Heide",CONTINUOUS,LOCAL_DISPUTE_OPEN_ACROSS_WINDOW,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","37 Schwedt-Vierraden 116 (1743-1752), continued in 117 (1748-1750), 118 (1749-1775) and 119 (1770-1789)","BLHA 1101815, 1101816, 1101817, 1101818",NOT_SETTLED_IN_WINDOW,"heath between Gartz and Vierraden, ~5-10 km",SINGLE_HEX_TO_FEW_HEXES,MEDIUM,"Demonstrably unsettled at 1751, 1756 and 1758. Both parties Hohenzollern, so sovereignty is unaffected.",MAPGEN-020,1756-08-01,YES
seg_prussian_pomerania,sub_pompom_remainder,Uckermark / Prussian Pomerania away from Gartz,CONTINUOUS,CONFIRMED_WITHIN_SOURCE_UNCERTAINTY,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","Pomerania administered through its own Pommersche/Stettinsche Regierung and the Coesslin Hofgericht in March 1756, separate from the Kurmark and Neumark bodies",bsb11399173 scan 0025 col. 45-46,NO_CHANGE_FOUND,remainder of the frontier,NONE,MEDIUM,Pomerania is a separate province of the same crown; it is never folded into Brandenburg geometry.,MAPGEN-020,1756-08-01,YES
seg_mecklenburg,sub_meck_menow_fuerstenberg,Feldmark Menow / Feld Lindow against the Mecklenburg Amt Fuerstenberg,CONTINUOUS,LOCAL_REGULATION_OPEN_ACROSS_WINDOW,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","7 Lindow/M 69 (1704-1763) and 7 Lindow/M 67 (1669-1758), both Domanialia >> Grenz-Sachen",BLHA 689314; BLHA 689312,NOT_SETTLED_IN_WINDOW,"one Feldmark against one Amt, ~5 km",SINGLE_HEX,MEDIUM,"An international frontier, but only a single Feldmark of it is under regulation.",MAPGEN-020,1756-08-01,YES
seg_mecklenburg,sub_meck_remainder,Mecklenburg frontier away from Menow,CONTINUOUS,CONFIRMED_WITHIN_SOURCE_UNCERTAINTY,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019",No cession or partition found 1751-1758; the ca.1758 sheet draws the same Kreise against Mecklenburg,"BLHA AKS 1145 A, Circulus Prignitz and Ruppinensis against Ducatus Mecklenburgici",NO_CHANGE_FOUND,remainder of the frontier,NONE,MEDIUM,The Prignitz exclaves of Rossow and Schoenberg near Wittstock mean this frontier is not a single simple line.,MAPGEN-020,1756-08-01,YES
seg_magdeburg_halberstadt,sub_magdeburg_all,Altmark and Zauche against the Duchy of Magdeburg and the Principality of Halberstadt,CONTINUOUS,CONFIRMED_WITHIN_SOURCE_UNCERTAINTY,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019",Separate General Directory departments since the 1723 reorganisation; the 1756 edicts address 'die Halberstadtsche Regierung' and the 'Prinzliche Gesammt-Cammer in Magdeburg' as bodies distinct from the Kurmark and Neumark ones; the ca.1758 sheet labels DUCAT. MAGDEBURG outside the coloured Brandenburg body,bsb11399173 scan 0017 col. 29 (No. XVI) and scan 0023 col. 41 (No. XXVIII); BLHA AKS 1145 A,NO_CHANGE_FOUND,whole frontier,NONE,MEDIUM,"A real internal provincial boundary of the same crown. Note that the Altmark-Magdeburg line was still being regulated in 1801 (A 9b VII Nr. 184), so 'unchanged' means no change FOUND in the window, not a surveyed line.",MAPGEN-020,1756-08-01,YES
seg_commonwealth,sub_cw_drage_driesen,Neumark / Commonwealth at the Drage near Amt Driesen,CONTINUOUS,CLAIM_OPEN_NO_CHANGE_EFFECTED,"BnF Vaugondy 1751 sheet, GEOREFERENCED_VALIDATED (MAPGEN-019)","Novum Corpus Constitutionum Prussico-Brandenburgensium II, BSB bsb11399173, 1756 entries (see brandenburg_1756_political_evidence.csv)","BLHA AKS 1145 A, Lotter ca.1758, acquired MAPGEN-019","3 Neumaerkische Kammer 12085, Sapieha of Filehne claiming Bruch land on the Prussian bank of the Drage",BLHA 1391126,NO_CHANGE_EFFECTED,one Bruch parcel,SUB_HEX,MEDIUM,A claim asserted is not a line moved.,MAPGEN-020,1756-08-01,YES
