scenario_id,scenario_polity_id,polity_id,display_name,short_name,existence_status,government_type_if_known,capital_binding_type,capital_reference_id,capital_lat,capital_lon,parent_scenario_polity_id,subject_status,source_confidence,notes,territorial_authority_role,playability_status,display_name_ja,historical_title_at_snapshot
seven_years_war_1756_08_01,sp_5cbc14bfb67b,pol_tokugawa_shogunate,Tokugawa Shogunate,Tokugawa,EXISTS,Feudal military government (bakufu) under the Tokugawa house; shogun Tokugawa Ieshige at snapshot date,COORDINATES,,35.6877,139.7528,,UNEVALUATED,HIGH,Capital coordinates = Edo castle honmaru. The formal relationship between the bakufu and the imperial court is deliberately UNEVALUATED at foundation stage — no historical interpretation is fixed here.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,徳川幕府,征夷大将軍 徳川家重
seven_years_war_1756_08_01,sp_6b03622fc98a,pol_great_britain,Kingdom of Great Britain,Great Britain,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Sovereign kingdom (union of England and Scotland, 1707). Overseas possessions out of scope for the Europe catalogue.",DIRECT_TERRITORIAL_ACTOR,UNDECIDED,グレートブリテン王国,"George II, King of Great Britain and Ireland"
seven_years_war_1756_08_01,sp_c8f0dcb42a96,pol_kingdom_of_ireland,Kingdom of Ireland,Ireland,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Separate kingdom under the British crown; legislatively subordinated (Declaratory Act 1720) — modeled as personal union, subordination recorded here, not as annexation.",DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,アイルランド王国,
seven_years_war_1756_08_01,sp_5fb5b4cc85ab,pol_hanover,Electorate of Brunswick-Lüneburg (Hanover),Brunswick-Lüneburg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Imperial electorate ruled by George II in personal union with Great Britain; NEVER merged into a single territorial polity with Britain.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ハノーファー選帝侯領,George II as Elector of Brunswick-Lüneburg
seven_years_war_1756_08_01,sp_731e647346ac,pol_france,Kingdom of France,France,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Sovereign kingdom; papal enclaves (Avignon/Comtat) noted under the Papal States.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,フランス王国,
seven_years_war_1756_08_01,sp_b622a2799f94,pol_spain,Kingdom of Spain,Spain,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Bourbon Spain.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,スペイン王国,
seven_years_war_1756_08_01,sp_fef06587fead,pol_portugal,Kingdom of Portugal,Portugal,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ポルトガル王国,
seven_years_war_1756_08_01,sp_b1d77c06f124,pol_dutch_republic,Republic of the Seven United Netherlands,the Seven United Netherlands,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Confederal republic acting as one polity externally; internal provincial structure not modeled at this stage.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ネーデルラント連邦共和国,
seven_years_war_1756_08_01,sp_99bdcc684b27,pol_austrian_netherlands,Austrian Netherlands,Austrian Netherlands,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Habsburg possession (Burgundian circle of the Empire); mosaic with Liège and barrier enclaves.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,オーストリア領ネーデルラント,
seven_years_war_1756_08_01,sp_b443a8d8ffe0,pol_liege,Prince-Bishopric of Liège,Prince-Bishopric of Liège,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Imperial ecclesiastical principality interleaved with the Austrian Netherlands.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,リエージュ司教領,
