observation_id,kind,border,pixel_axis,pixel_value,degree_value_raw,numeral_read,second_coordinate_known,detection_method,eligible_as_2d_gcp,used_for,notes
mer_31_top,MERIDIAN_TICK,TOP,x,1745.5,31.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_32_top,MERIDIAN_TICK,TOP,x,2720.4,32.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_33_top,MERIDIAN_TICK,TOP,x,3692.4,33.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_34_top,MERIDIAN_TICK,TOP,x,4664.6,34.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_35_top,MERIDIAN_TICK,TOP,x,5634.5,35.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_36_top,MERIDIAN_TICK,TOP,x,6608.0,36.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_31_bottom,MERIDIAN_TICK,BOTTOM,x,1606.6,31.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_32_bottom,MERIDIAN_TICK,BOTTOM,x,2666.5,32.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_33_bottom,MERIDIAN_TICK,BOTTOM,x,3725.0,33.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_34_bottom,MERIDIAN_TICK,BOTTOM,x,4784.6,34.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_35_bottom,MERIDIAN_TICK,BOTTOM,x,5842.0,35.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
mer_36_bottom,MERIDIAN_TICK,BOTTOM,x,6900.6,36.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
par_53_left,PARALLEL_TICK,LEFT,y,4093.4,53.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
par_54_left,PARALLEL_TICK,LEFT,y,2357.0,54.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
par_55_left,PARALLEL_TICK,LEFT,y,622.5,55.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
par_53_right,PARALLEL_TICK,RIGHT,y,4057.6,53.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
par_54_right,PARALLEL_TICK,RIGHT,y,2313.5,54.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
par_55_right,PARALLEL_TICK,RIGHT,y,575.0,55.0,YES,NO,"column/row darkness profile of the margin band between the outer neat line and the graduated band, at native resolution; whole-degree rules cross the whole margin",NO,PRIME_MERIDIAN_QA; PROJECTION_DIAGNOSTIC,a border tick fixes ONE coordinate. Crossing meridian ticks with parallel ticks does not create observations - that is what MAPGEN-018 did and MAPGEN-018R disqualified.
