cell,outcome,crown,zone,settlements_read,reason,note,decided_by_stage
0,UNRESOLVED,,sea and the Balearics,"MALLORQUE, Alcudia, Campos, Porto Petro, Dragonera",NOT_MAINLAND_SCOPE,the open sea plus the Balearic islands. This stage produces the Iberian MAINLAND only.,MAPGEN-026
5,OWNED,FRANCE,Gascogne,"Auch, Condom, Eauze, Tarbes, Lescar, Aire",ONE_CROWN_ONLY_IN_CELL,"Gascony, French crown territory; recorded so the Spanish region can never absorb it across the Pyrenees.",MAPGEN-026
6,OWNED,SPAIN,Catalonia,"Solsona, Cardona, Manresa, Cervera, Vich, Camprodon",ONE_CROWN_ONLY_IN_CELL,"Principality of Catalonia, under the Spanish crown at the snapshot; governed since the Nueva Planta decree of 1716 through the Real Audiencia and the Captain General at Barcelona.",MAPGEN-026
7,OWNED,FRANCE,Languedoc,"Albi, Castres, Lavaur, Castelnaudary, Rieux, Montauban",ONE_CROWN_ONLY_IN_CELL,"Languedoc, French crown territory.",MAPGEN-026
10,OWNED,FRANCE,Quercy and Rouergue,"Cahors, Rodez, Albi, Montauban, the Lot",ONE_CROWN_ONLY_IN_CELL,French crown territory north of the Pyrenean watershed.,MAPGEN-026
13,OWNED,PORTUGAL,Beira,"Viseu, Guarda, Pinhel, Penamacor, Monsanto",ONE_CROWN_ONLY_IN_CELL,"Beira, a province of the Kingdom of Portugal under D. Jose I; all five towns are Portuguese comarca seats.",MAPGEN-026
15,OWNED,SPAIN,Valencia,"Segorbe, Requena, Xativa, Alzira, Turis",ONE_CROWN_ONLY_IN_CELL,"Kingdom of Valencia, under the Spanish crown; its own fueros were abolished in 1707 and it was administered from Valencia by the Audiencia and Captain General.",MAPGEN-026
17,OWNED,SPAIN,Navarre,"PAMPLUNE, Estella, Tafalla, Olite, Viana, Logrono",ONE_CROWN_ONLY_IN_CELL,"Kingdom of Navarre, under the Spanish crown since 1512, keeping its own Cortes and Diputacion; a distinct kingdom in law but not a separate monarch, and the plate's own ROYAUME DE NAVARRE lettering agrees.",MAPGEN-026
18,OWNED,PORTUGAL,Algarve,"ROY. DE ALGARVE, Faro, Tavira, Silves, Lagos, Estombar",ONE_CROWN_ONLY_IN_CELL,"MAPGEN-027 constitutional audit. MAPGEN-026 withheld this cell because the plate letters it ROYAUME DE ALGARVE, and a map title is not evidence about an actor - in either direction. Seven institutional axes say one crown: one royal style, one Chancellaria mor through which every law is published, one livro das Leys, acts binding 'Portugal, ou nos Algarves' in a single clause, two ordinary comarcas under crown corregedores and the Ordenacoes, the decima, no Algarve Cortes and no Algarve high court. Naples and Sicily each had a parliament, a council and a viceroy; the Algarve has none of the three. Every settlement engraved in the cell - Faro, Tavira, Silves, Lagos, Estombar - is Portuguese.",MAPGEN-027
19,OWNED,PORTUGAL,Tras-os-Montes on the Douro,"Miranda (do Douro), Torre de Moncorvo, Lamego",ONE_CROWN_ONLY_IN_CELL,"all three are Portuguese comarca towns. Miranda do Douro sits ON the frontier and is Portuguese; no Spanish settlement is engraved anywhere inside this cell, so the one-crown rule applies here exactly as it does inland.",MAPGEN-026
20,OWNED,PORTUGAL,Estremadura,"the word PORTUGAL engraved across the cell, with Setubal, Evora, Alcacer do Sal, Almada, Ribatejo",ONE_CROWN_ONLY_IN_CELL,"Portuguese Estremadura and the Ribatejo, the crown's own heartland around the capital.",MAPGEN-026
21,UNRESOLVED,,Mallorca,"Mallorque, Alcudia, Sagra, Campos",NOT_MAINLAND_SCOPE,"Balearic island, out of scope.",MAPGEN-026
22,OWNED,FRANCE,Roussillon,"Villefranche, Bellegarde, the word ROUSSILLON, Besalu, Camprodon",ONE_CROWN_ONLY_IN_CELL,"Roussillon, ceded to France by the Treaty of the Pyrenees in 1659 and French at the snapshot.",MAPGEN-026
23,OWNED,PORTUGAL,Douro near Amarante,"Amarante, Lamego, Villa Real",ONE_CROWN_ONLY_IN_CELL,"three Portuguese towns of the Douro province, none of them near the frontier, and no Spanish settlement inside.",MAPGEN-026
24,UNRESOLVED,,lower Minho,"VIGO, Ribadavia, Melgaco, BRAGA, Valenca, Amarante, Villa Real",MIXED_CROWN_LEAK,"the cell holds Vigo and Ribadavia, which are Spanish, together with Braga, Valenca and Melgaco, which are Portuguese. The wash network is open across the Minho here, so the cell can carry no owner.",MAPGEN-026
25,UNRESOLVED,,Sanabria and Tras-os-Montes,"Monforte de Lemos, Ponferrada, Sanabria, Benavente, Zamora, Braganza",MIXED_CROWN_LEAK,"Zamora, Benavente and Ponferrada are Spanish; Braganca is Portuguese. Another opening in the network, on the Tras-os-Montes frontier.",MAPGEN-026
26,OWNED,PORTUGAL,Beira Alta,"Lamego, Pinhel, Torre de Moncorvo",ONE_CROWN_ONLY_IN_CELL,Portuguese Beira Alta; no Spanish settlement inside.,MAPGEN-026
