polity_id,canonical_name,polity_kind,notes
pol_tokugawa_shogunate,Tokugawa Shogunate (徳川幕府),HEREDITARY_MILITARY_GOVERNMENT,"De-facto central government of Japan in the Edo period (1603-1868). Registered as the MAPGEN-008 real-data pilot polity. polity_id is a permanent curated slug, never regenerated from display names."
pol_great_britain,Kingdom of Great Britain,KINGDOM,"Sovereign kingdom (union of England and Scotland, 1707). Overseas possessions out of scope for the Europe catalogue. [MAPGEN-009 1756 Europe catalogue]"
pol_kingdom_of_ireland,Kingdom of Ireland,KINGDOM,"Separate kingdom under the British crown; legislatively subordinated (Declaratory Act 1720) — modeled as personal union, subordination recorded here, not as annexation. [MAPGEN-009 1756 Europe catalogue]"
pol_hanover,Electorate of Brunswick-Lüneburg (Hanover),ELECTORATE,Imperial electorate ruled by George II in personal union with Great Britain; NEVER merged into a single territorial polity with Britain. [MAPGEN-009 1756 Europe catalogue]
pol_france,Kingdom of France,KINGDOM,Sovereign kingdom; papal enclaves (Avignon/Comtat) noted under the Papal States. [MAPGEN-009 1756 Europe catalogue]
pol_spain,Kingdom of Spain,KINGDOM,Bourbon Spain. [MAPGEN-009 1756 Europe catalogue]
pol_portugal,Kingdom of Portugal,KINGDOM, [MAPGEN-009 1756 Europe catalogue]
pol_dutch_republic,Republic of the Seven United Netherlands,CONFEDERAL_REPUBLIC,Confederal republic acting as one polity externally; internal provincial structure not modeled at this stage. [MAPGEN-009 1756 Europe catalogue]
pol_austrian_netherlands,Austrian Netherlands,COMPOSITE_TERRITORY,Habsburg possession (Burgundian circle of the Empire); mosaic with Liège and barrier enclaves. [MAPGEN-009 1756 Europe catalogue]
pol_liege,Prince-Bishopric of Liège,PRINCE_BISHOPRIC,Imperial ecclesiastical principality interleaved with the Austrian Netherlands. [MAPGEN-009 1756 Europe catalogue]
pol_sardinia,Kingdom of Sardinia (Savoy-Piedmont),KINGDOM,Savoyard state: island of Sardinia + mainland Piedmont-Savoy. [MAPGEN-009 1756 Europe catalogue]
pol_venice,Republic of Venice,REPUBLIC,Terraferma + Adriatic/Ionian possessions. [MAPGEN-009 1756 Europe catalogue]
pol_genoa,Republic of Genoa,REPUBLIC,Includes Corsica de jure; the island's contested state in 1756 is tracked as a separate UNRESOLVED audit candidate. [MAPGEN-009 1756 Europe catalogue]
pol_tuscany,Grand Duchy of Tuscany,GRAND_DUCHY,Held by Francis Stephen of Lorraine (Holy Roman Emperor). Its constitutional tie to the Habsburg complex is deliberately UNEVALUATED here — no relationship row is asserted. [MAPGEN-009 1756 Europe catalogue]
pol_papal_states,Papal States,ECCLESIASTICAL_MONARCHY,Includes exclaves (Benevento/Pontecorvo inside Naples; Avignon and the Comtat inside France). [MAPGEN-009 1756 Europe catalogue]
pol_naples,Kingdom of Naples,KINGDOM,Bourbon kingdom in personal union with Sicily under Charles. [MAPGEN-009 1756 Europe catalogue]
pol_sicily,Kingdom of Sicily,KINGDOM,Separate kingdom sharing its monarch with Naples (personal union). [MAPGEN-009 1756 Europe catalogue]
pol_parma,"Duchy of Parma, Piacenza and Guastalla",DUCHY,Bourbon secundogeniture; representability not yet assessed against an atlas source. [MAPGEN-009 1756 Europe catalogue]
pol_modena,Duchy of Modena and Reggio,DUCHY, [MAPGEN-009 1756 Europe catalogue]
pol_holy_roman_empire,Holy Roman Empire,IMPERIAL_LEGAL_STRUCTURE,"Constitutional/legal structure of the German lands. STRUCTURAL CONTAINER ONLY: the Empire is NOT the owner or controller of member territory, and no territorial control may ever be derived from imperial membership. [MAPGEN-009 1756 Europe catalogue]"
pol_habsburg_monarchy,Habsburg Monarchy,COMPOSITE_MONARCHY,"Composite monarchy of Maria Theresa acting as a single European power; constituents modeled via COMPOSITE_MEMBER_OF, never as one modern-Austria polygon. [MAPGEN-009 1756 Europe catalogue]"
pol_bohemia,Kingdom of Bohemia,KINGDOM,Bohemian crown lands; imperial electorate. [MAPGEN-009 1756 Europe catalogue]
pol_hungary,Kingdom of Hungary,KINGDOM,Hungarian crown lands under the Habsburg monarch; OUTSIDE the Holy Roman Empire (no IMPERIAL_MEMBER_OF row on purpose). [MAPGEN-009 1756 Europe catalogue]
pol_austria_archduchy,Archduchy of Austria,ARCHDUCHY,Core Austrian hereditary lands (simplified aggregate of the Erblande at catalogue stage; finer division deferred). [MAPGEN-009 1756 Europe catalogue]
pol_milan,Duchy of Milan,DUCHY,Habsburg Lombardy; imperial fief. [MAPGEN-009 1756 Europe catalogue]
pol_prussia_monarchy,Prussian Monarchy (Hohenzollern lands),COMPOSITE_MONARCHY,Modeling construct per Clark: the composite of Hohenzollern territories acting as one monarchy under Frederick II. NOT generated from modern Germany; constituents keep their legal identities. [MAPGEN-009 1756 Europe catalogue]
pol_brandenburg,Margraviate of Brandenburg (Electorate),ELECTORATE,Electorate inside the Empire. [MAPGEN-009 1756 Europe catalogue]
pol_prussia_kingdom_proper,Kingdom of Prussia (Ducal/East Prussia),KINGDOM,"Former Ducal Prussia, royal dignity 1701 ('King IN Prussia'; the style 'King OF Prussia' dates from 1772). DISTINCT from Royal (Polish) Prussia, which in 1756 was territory of the Polish-Lithuanian Commonwealth. [terminology hardened in MAPGEN-009R, id unchanged]"
pol_saxony,Electorate of Saxony,ELECTORATE,Ruled by Augustus III in personal union with Poland-Lithuania; the two territories are NEVER merged. [MAPGEN-009 1756 Europe catalogue]
pol_bavaria,Electorate of Bavaria,ELECTORATE, [MAPGEN-009 1756 Europe catalogue]
pol_palatinate,Electorate of the Palatinate,ELECTORATE,Scattered Rhenish territories. [MAPGEN-009 1756 Europe catalogue]
pol_cologne,Electorate of Cologne,ELECTORATE,Ecclesiastical electorate. [MAPGEN-009 1756 Europe catalogue]
pol_mainz,Electorate of Mainz,ELECTORATE,Ecclesiastical electorate. [MAPGEN-009 1756 Europe catalogue]
pol_trier,Electorate of Trier,ELECTORATE,Ecclesiastical electorate. [MAPGEN-009 1756 Europe catalogue]
pol_wurttemberg,Duchy of Württemberg,DUCHY,Embedded in the Swabian territorial mosaic. [MAPGEN-009 1756 Europe catalogue]
pol_hesse_kassel,Landgraviate of Hesse-Kassel,LANDGRAVIATE,Seven Years War belligerent. [MAPGEN-009 1756 Europe catalogue]
pol_mecklenburg_schwerin,Duchy of Mecklenburg-Schwerin,DUCHY, [MAPGEN-009 1756 Europe catalogue]
pol_brunswick_wolfenbuettel,Principality of Brunswick-Wolfenbüttel,PRINCIPALITY,Seven Years War belligerent. [MAPGEN-009 1756 Europe catalogue]
pol_denmark_norway,Kingdom of Denmark-Norway,COMPOSITE_MONARCHY,Twin kingdoms governed as one monarchy from Copenhagen; the Schleswig-Holstein condominium complexity is a separate UNRESOLVED audit candidate. [MAPGEN-009 1756 Europe catalogue]
pol_sweden,Kingdom of Sweden,KINGDOM,Includes Finland; German possession tracked as Swedish Pomerania. [MAPGEN-009 1756 Europe catalogue]
pol_swedish_pomerania,Swedish Pomerania,DUCHY,Held by the Swedish crown as an imperial fief — simultaneously a dependency of Sweden and a member territory of the Empire. [MAPGEN-009 1756 Europe catalogue]
pol_russia,Russian Empire,EMPIRE, [MAPGEN-009 1756 Europe catalogue]
pol_plc,Polish-Lithuanian Commonwealth,ELECTIVE_MONARCHY,Real union of the Polish Crown and the Grand Duchy of Lithuania treated as one Commonwealth actor; internal duality noted but not subdivided at catalogue stage. [MAPGEN-009 1756 Europe catalogue]
pol_courland,Duchy of Courland and Semigallia,DUCHY,Fief of the Polish-Lithuanian Commonwealth. [MAPGEN-009 1756 Europe catalogue]
pol_ottoman,Ottoman Empire,EMPIRE,European sphere in scope for this catalogue; Anatolian/Arab lands out of scope at this stage. [MAPGEN-009 1756 Europe catalogue]
pol_moldavia,Principality of Moldavia,PRINCIPALITY,Ottoman tributary principality with internal autonomy. [MAPGEN-009 1756 Europe catalogue]
pol_wallachia,Principality of Wallachia,PRINCIPALITY,Ottoman tributary principality with internal autonomy. [MAPGEN-009 1756 Europe catalogue]
pol_crimea,Crimean Khanate,KHANATE,"Vassal khanate of the Ottoman Empire with wide autonomy; the exact legal framing is nuanced, hence MEDIUM. [MAPGEN-009 1756 Europe catalogue]"
pol_swiss_confederacy,Swiss Confederacy,CONFEDERATION,Confederal structure of thirteen cantons and associates. Registered STRUCTURAL_ONLY: whether cantons or the Confederacy become the gameplay territorial actor is deliberately undecided; cantons are tracked as an aggregation-candidate class. [MAPGEN-009 1756 Europe catalogue]
pol_ragusa,Republic of Ragusa,REPUBLIC,Tributary of the Ottoman Empire. [MAPGEN-009 1756 Europe catalogue]
pol_order_st_john,Order of Saint John (Malta),MILITARY_RELIGIOUS_ORDER,Sovereign military-religious order holding the Maltese islands. [MAPGEN-009 1756 Europe catalogue]
pol_muenster,Prince-Bishopric of Münster,PRINCE_BISHOPRIC,Major Westphalian ecclesiastical principality; Seven Years War theatre. Extracted from the former class row (MAPGEN-009R). [MAPGEN-009R granularity hardening]
pol_wuerzburg,Prince-Bishopric of Würzburg,PRINCE_BISHOPRIC,Extracted from the former class row (MAPGEN-009R). [MAPGEN-009R granularity hardening]
pol_bamberg,Prince-Bishopric of Bamberg,PRINCE_BISHOPRIC,Extracted from the former class row (MAPGEN-009R). [MAPGEN-009R granularity hardening]
pol_salzburg,Prince-Archbishopric of Salzburg,PRINCE_BISHOPRIC,Extracted from the former class row (MAPGEN-009R). [MAPGEN-009R granularity hardening]
pol_hesse_darmstadt,Landgraviate of Hesse-Darmstadt,LANDGRAVIATE,Non-electoral but substantial; sibling of Hesse-Kassel. [MAPGEN-009R granularity hardening]
pol_mecklenburg_strelitz,Duchy of Mecklenburg-Strelitz,DUCHY,Separate duchy since 1701; distinct from Mecklenburg-Schwerin. [MAPGEN-009R granularity hardening]
pol_baden_durlach,Margraviate of Baden-Durlach,MARGRAVIATE,"Separate from Baden-Baden until the 1771 reunification — two polities in 1756, never merged here. [MAPGEN-009R granularity hardening]"
pol_baden_baden,Margraviate of Baden-Baden,MARGRAVIATE,Catholic Baden line; separate polity in 1756. [MAPGEN-009R granularity hardening]
pol_hamburg,Free Imperial City of Hamburg,FREE_IMPERIAL_CITY,Individually audited — the free-cities class blanket judgment was withdrawn in MAPGEN-009R. [MAPGEN-009R granularity hardening]
pol_nuremberg,Free Imperial City of Nuremberg,FREE_IMPERIAL_CITY,Individually audited (MAPGEN-009R). [MAPGEN-009R granularity hardening]
pol_san_marino,Republic of San Marino,REPUBLIC,Modern area used as sanity check only — legitimate here because the extent is documented as continuous since the 15th century. [MAPGEN-009R granularity hardening]
pol_andorra,Principality of Andorra (co-principality),CO_PRINCIPALITY,Co-princes: Bishop of Urgell and the French crown (structure noted; no relationship row asserted at this stage). [MAPGEN-009R granularity hardening]
pol_liechtenstein,Principality of Liechtenstein,PRINCIPALITY,Imperial principality since 1719. [MAPGEN-009R granularity hardening]
pol_corsican_republic,Corsican Republic (Paoli government),REPUBLIC,De-facto polity from 1755 under Pasquale Paoli controlling the interior; Genoa retained coastal citadels and the de-jure claim. Future control rows will model both sides separately; NO whole-island grant to either side by fiat. [MAPGEN-009R granularity hardening]
pol_lucca,Republic of Lucca,REPUBLIC,Independent republic throughout the 18th century; UNRESOLVED status resolved by consulting the registered atlas (MAPGEN-009R). [MAPGEN-009R granularity hardening]
pol_saxe_weimar,Duchy of Saxe-Weimar,DUCHY,"Ernestine Saxon duchy; the sheet names the bloc 'DUCHE DE WEIMAR' around Weimar, Jena and Dornburg. [MAPGEN-013 refinement from the 1756 sheet]"
pol_schwarzburg,Schwarzburg (as drawn on the 1756 sheet),COMITAL_PRINCIPALITY,"MODEL ARTIFACT, SUPERSEDED IN MAPGEN-014. Registered in MAPGEN-013 from a single map wash; no such unified Schwarzburg polity existed in 1756. Retained for audit history only and replaced by pol_schwarzburg_rudolstadt + pol_schwarzburg_sondershausen. 'House of Schwarzburg' is a dynastic concept, not a territorial polity."
pol_schwarzburg_rudolstadt,Principality of Schwarzburg-Rudolstadt,PRINCIPALITY,Separate territorial line from the 1599 Stadtilm partition; hereditary imperial prince 1710.
pol_schwarzburg_sondershausen,Principality of Schwarzburg-Sondershausen,PRINCIPALITY,Separate territorial line from the 1599 Stadtilm partition; hereditary imperial prince 1697.
