cell,outcome,crown,zone,settlements_read,reason,note
0,UNRESOLVED,,sea and the Balearics,"MALLORQUE, Alcudia, Campos, Porto Petro, Dragonera",NOT_MAINLAND_SCOPE,the open sea plus the Balearic islands. This stage produces the Iberian MAINLAND only.
5,OWNED,FRANCE,Gascogne,"Auch, Condom, Eauze, Tarbes, Lescar, Aire",ONE_CROWN_ONLY_IN_CELL,"Gascony, French crown territory; recorded so the Spanish region can never absorb it across the Pyrenees."
6,OWNED,SPAIN,Catalonia,"Solsona, Cardona, Manresa, Cervera, Vich, Camprodon",ONE_CROWN_ONLY_IN_CELL,"Principality of Catalonia, under the Spanish crown at the snapshot; governed since the Nueva Planta decree of 1716 through the Real Audiencia and the Captain General at Barcelona."
7,OWNED,FRANCE,Languedoc,"Albi, Castres, Lavaur, Castelnaudary, Rieux, Montauban",ONE_CROWN_ONLY_IN_CELL,"Languedoc, French crown territory."
10,OWNED,FRANCE,Quercy and Rouergue,"Cahors, Rodez, Albi, Montauban, the Lot",ONE_CROWN_ONLY_IN_CELL,French crown territory north of the Pyrenean watershed.
13,OWNED,PORTUGAL,Beira,"Viseu, Guarda, Pinhel, Penamacor, Monsanto",ONE_CROWN_ONLY_IN_CELL,"Beira, a province of the Kingdom of Portugal under D. Jose I; all five towns are Portuguese comarca seats."
15,OWNED,SPAIN,Valencia,"Segorbe, Requena, Xativa, Alzira, Turis",ONE_CROWN_ONLY_IN_CELL,"Kingdom of Valencia, under the Spanish crown; its own fueros were abolished in 1707 and it was administered from Valencia by the Audiencia and Captain General."
17,OWNED,SPAIN,Navarre,"PAMPLUNE, Estella, Tafalla, Olite, Viana, Logrono",ONE_CROWN_ONLY_IN_CELL,"Kingdom of Navarre, under the Spanish crown since 1512, keeping its own Cortes and Diputacion; a distinct kingdom in law but not a separate monarch, and the plate's own ROYAUME DE NAVARRE lettering agrees."
18,UNRESOLVED,,Algarve,"ROY. DE ALGARVE, Faro, Tavira, Silves, Lagos, Estombar",SEPARATE_KINGDOM_TITLE_UNEVALUATED,"the plate styles it a kingdom in its own right. MAPGEN-009 already split Naples from Sicily for sharing a monarch, so the Algarve is not folded into pol_portugal without its own evidence. Left UNRESOLVED and passed on as an audit candidate."
19,OWNED,PORTUGAL,Tras-os-Montes on the Douro,"Miranda (do Douro), Torre de Moncorvo, Lamego",ONE_CROWN_ONLY_IN_CELL,"all three are Portuguese comarca towns. Miranda do Douro sits ON the frontier and is Portuguese; no Spanish settlement is engraved anywhere inside this cell, so the one-crown rule applies here exactly as it does inland."
20,OWNED,PORTUGAL,Estremadura,"the word PORTUGAL engraved across the cell, with Setubal, Evora, Alcacer do Sal, Almada, Ribatejo",ONE_CROWN_ONLY_IN_CELL,"Portuguese Estremadura and the Ribatejo, the crown's own heartland around the capital."
21,UNRESOLVED,,Mallorca,"Mallorque, Alcudia, Sagra, Campos",NOT_MAINLAND_SCOPE,"Balearic island, out of scope."
22,OWNED,FRANCE,Roussillon,"Villefranche, Bellegarde, the word ROUSSILLON, Besalu, Camprodon",ONE_CROWN_ONLY_IN_CELL,"Roussillon, ceded to France by the Treaty of the Pyrenees in 1659 and French at the snapshot."
23,OWNED,PORTUGAL,Douro near Amarante,"Amarante, Lamego, Villa Real",ONE_CROWN_ONLY_IN_CELL,"three Portuguese towns of the Douro province, none of them near the frontier, and no Spanish settlement inside."
24,UNRESOLVED,,lower Minho,"VIGO, Ribadavia, Melgaco, BRAGA, Valenca, Amarante, Villa Real",MIXED_CROWN_LEAK,"the cell holds Vigo and Ribadavia, which are Spanish, together with Braga, Valenca and Melgaco, which are Portuguese. The wash network is open across the Minho here, so the cell can carry no owner."
25,UNRESOLVED,,Sanabria and Tras-os-Montes,"Monforte de Lemos, Ponferrada, Sanabria, Benavente, Zamora, Braganza",MIXED_CROWN_LEAK,"Zamora, Benavente and Ponferrada are Spanish; Braganca is Portuguese. Another opening in the network, on the Tras-os-Montes frontier."
26,OWNED,PORTUGAL,Beira Alta,"Lamego, Pinhel, Torre de Moncorvo",ONE_CROWN_ONLY_IN_CELL,Portuguese Beira Alta; no Spanish settlement inside.
