site,layer,what,meaning,is_political,note
src/mapgen/europe_coverage.py:114-122,PHYSICAL_CLASSIFICATION,is_land = land_frac >= land_threshold; the flag and water_type are both derived from it,"Binary physical classification of a hex as land or ocean, at a configured area threshold (0.5).",NO,"land_fraction is stored alongside, so the underlying continuous quantity is never lost - only the binary view discards it."
src/mapgen/land.py:80-97,PHYSICAL_CLASSIFICATION,"classify_hexes returns land_class plus classification_error_area_m2 = np.where(is_land, water_area, land_area)","The project already NAMES the area thrown away by the binary decision, in both directions, including 'the land part of a water hex'.",NO,"This is the single strongest piece of evidence that the discarded coastal land is a known, quantified property of the physical model rather than an oversight."
"src/mapgen/pipeline.py:332,346",PHYSICAL_CLASSIFICATION,documented: 'Binary class applies the threshold. Fractions are always preserved alongside the binary class.',The binary/continuous split is deliberate and written down in the pipeline's own report text.,NO,
src/mapgen/islands_pipeline.py:65,PHYSICAL_CLASSIFICATION,geo['is_terrestrial_hex'] = geo['water_type'] == 'NONE',"In the geography layer the flag is redefined as an alias of water_type, closing the loop with the threshold above.",NO,"Two definitions in two layers, but they agree: the audit found 0 hexes where is_terrestrial_hex disagreed with either land_fraction >= 0.5 or water_type == NONE."
src/mapgen/terrain_layers.py:219,TERRAIN,water = layers['water_type'].to_numpy() != 'NONE' feeds the dominant terrain face,Terrain face is decided from the same binary class.,NO,This is why reclassifying a 30 per cent land hex as LAND is not a free change: it would move terrain too.
src/mapgen/hex_edges.py (whole module),MOVEMENT,"the edge graph is purely geometric - corners, shared sides, river snapping - and reads neither is_terrestrial_hex nor water_type",There is currently NO movement layer consuming the flag.,NO,Materially lowers the migration cost of any model that adds a political target type: there is no movement semantics to keep consistent yet.
src/mapgen/scenario.py:23-26,POLITICAL_TARGETING,'Territorial targets are TERRESTRIAL_HEX (hex_id) or ISLAND_COMPONENT (component_id) ... and an OCEAN hex is never itself a land-control target.',"THE RULE IS EXPLICIT AND PREDATES THE ISLAND STAGES. It is a documented architectural invariant from MAPGEN-006R, not an accident of MAPGEN-021.",YES,"This single line decides the stage conclusion: the behaviour cannot be called a bug against intent, because the intent is written down."
src/mapgen/scenario.py:68,POLITICAL_TARGETING,"TARGET_TYPES = ['TERRESTRIAL_HEX', 'ISLAND_COMPONENT']",Exactly two target types exist; there is no type for land that sits on an ocean hex but belongs to a landmass already represented elsewhere.,YES,
src/mapgen/scenario_pipeline.py:934-...,POLITICAL_TARGETING,"terr_hex = set(geo.loc[geo['is_terrestrial_hex'], 'hex_id']); every TERRESTRIAL_HEX control row must be in it or the scenario fails validation","This is the exact point where a PHYSICAL flag becomes a POLITICAL constraint, enforced by the canonical validator.",YES,"The coupling is enforced, not incidental. Any change of model has to pass through this check."
src/mapgen/islands.py:174-189,POLITICAL_TARGETING,represented_by_terrestrial_hex = any(...); is_subhex_lost = bool(idx_list) and not represented_by_terrestrial_hex,A whole component that touches no terrestrial hex is flagged lost and becomes eligible for overlay and for an ISLAND_COMPONENT control target.,YES,"The escape hatch is per COMPONENT, not per hex - which is precisely why it cannot catch the coastal remainder of a component that IS represented."
src/mapgen/islands_pipeline.py:1346,POLITICAL_TARGETING,check overlay_hexes_water_semantics_intact: all overlay hexes are non-terrestrial,Overlays live ON ocean hexes by design; the physical class is deliberately left alone.,YES,Precedent that political representation can be added WITHOUT touching the water classification.
src/mapgen/islands_pipeline.py:1370-1377,POLITICAL_TARGETING,check no_duplicate_overlay_for_large_islands: a component already represented by a terrestrial hex must not also appear in an overlay unit,Explicit anti-double-count rule.,YES,"This is what blocks the naive reuse of the component mechanism for coastal fragments: Great Britain is represented by terrestrial hexes, so its coastal remainder may not be re-issued as an overlay component."
