hex_id,distinct_land_components_in_hex,mainland_fragment_id,mainland_km2,other_components,other_component_km2,largest_other_component_km2,second_fragment_id_if_authorised,key_is_a_function_of_both,second_fragment_produced,reason
h6000_q-000620_r+000904,2,lfr_76a4683ff1e40e,1.205525,1,5.242257,5.242257,lfr_07692a1825dc5d,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000572_r+000855,3,lfr_a2d8aa1df26fd9,4.606134,2,3.115689,3.083842,lfr_a75bf97f1d1002,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000573_r+000854,7,lfr_d9018a6da78036,6.705162,6,2.016002,1.808262,lfr_d62987f60bfba4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000574_r+000854,23,lfr_224ff176167dcb,2.774984,22,1.503229,1.101503,lfr_cc01e17c56d936,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000571_r+000856,3,lfr_7742931c112a2a,4.591802,2,1.438978,1.411889,lfr_8bafd857f7810c,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000670_r+001010,6,lfr_595a44584470ef,0.000895,5,1.359224,1.356253,lfr_bbea1f1075e793,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000668_r+001008,13,lfr_1d6718d5167e58,1.53695,12,0.589209,0.420543,lfr_0bd6b11b64f438,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000575_r+000854,11,lfr_06337bc47cc588,1.15932,10,0.464334,0.190872,lfr_968873b2e965a4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000617_r+000900,12,lfr_d8148da9895106,8.006084,11,0.374463,0.124209,lfr_5cab2b1b54611e,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000447_r+000975,2,lfr_5c493292c03709,7.349599,1,0.360684,0.360684,lfr_68c96feae1717d,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000664_r+001005,2,lfr_34a623e455155e,4.571072,1,0.258838,0.258838,lfr_22bc0767aeca0e,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000669_r+001010,12,lfr_2431eac91fd897,2.222922,11,0.209533,0.200699,lfr_995b0820854a3f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000671_r+001008,53,lfr_551d7245e0310d,1.172892,52,0.165786,0.073778,lfr_7e84c0c654c6ba,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000672_r+001008,35,lfr_82b4d25581f360,0.632478,34,0.11128,0.0492,lfr_e63a94f3429075,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
